BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Period
1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.33333333,2,26,,3
0,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.051136286,3
0,4000,105164,112774,HomeImp,Office,1,0,0,94.724874167,0,13,29.390928055,3
0,4200,56544,59218,HomeImp,Office,19,0,0,211.00259912,1,20,19.027704425,3
0,4500,,77182,,,,,,,,,25.227252904,3
1,5000,,94119,HomeImp,Other,19,,,,,,,3
0,5000,72517,86250,DebtCon,Mgr,19,0,1,300.36666667,1,24,,3
1,5000,81748,,DebtCon,ProfExe,14,1,2,144.06666667,2,17,,3
0,5100,85583,115341,HomeImp,ProfExe,7,0,0,177.95825512,1,28,26.257970132,3
0,5100,87258,121382,HomeImp,ProfExe,6,0,0,181.66304016,0,28,25.444759149,3
0,5300,50934,62957,HomeImp,Office,21,0,0,197.24195728,0,20,19.350505633,3
0,5400,86922,119846,HomeImp,ProfExe,5,0,0,185.07634726,1,28,26.354889295,3
0,5400,,75254,,,,,,,,,23.163742947,3
0,5500,93051,115374,HomeImp,ProfExe,6,0,0,187.02051879,1,27,27.646748505,3
0,5500,87438,116679,HomeImp,ProfExe,6,0,0,186.42441602,1,27,28.417530896,3
0,5600,41439,53893,HomeImp,Office,8,,,181.32298993,,19,24.651395744,3
0,5700,49514,58249,HomeImp,Office,21,0,0,212.53911509,0,21,21.258026878,3
1,5800,27791,46833,DebtCon,Mgr,3,0,0,83.289062746,1,13,30.187805389,3
0,5900,,51189,HomeImp,,1,0,0,,0,0,12.749180645,3
0,5900,82912,91175,DebtCon,ProfExe,2,,,,,,27.595273523,3
0,6100,47604,54966,HomeImp,Other,5,0,0,70.69532973,0,18,24.76674453,3
0,6100,79636,87276,HomeImp,Other,20,0,0,350.43613755,0,47,28.848276581,3
0,6200,46601,59486,HomeImp,Other,5,0,0,84.63211066,0,18,25.35001036,3
0,6200,45356,82054,DebtCon,,2,0,0,201.33448747,4,29,29.661710162,3
0,6200,75623,89634,HomeImp,Other,24,0,0,324.68682941,0,47,28.285532103,3
0,6300,45582,89005,DebtCon,,2,0,0,209.35804693,4,30,29.595955514,3
0,6300,79667,96988,DebtCon,ProfExe,1,,,,,,29.835960721,3
0,6400,39687,51666,HomeImp,Office,9,,,177.59135402,,19,26.1209597,3
0,6500,,37448,HomeImp,Other,,,,333.23089989,,11,29.011980578,3
1,6500,96314,105800,HomeImp,ProfExe,27,0,0,475.8,2,40,,3
0,6600,74376,84855,DebtCon,,3,,,,,,20.028353505,3
0,6800,139578,154602,HomeImp,ProfExe,12,0,0,201.96083432,0,18,22.325828788,3
1,7000,142251,157250,HomeImp,Other,5,0,0,87.833333333,4,21,,3
0,7100,,74753,HomeImp,Office,2,0,0,48.854644654,0,4,41.302546904,3
0,7100,57863,70969,DebtCon,Other,0,0,0,65.872044812,7,21,26.829490191,3
0,7200,79946,113807,DebtCon,Office,1,0,0,238.45882498,0,37,18.617288691,3
0,7200,71509,86484,DebtCon,,4,,,,,,20.099049784,3
0,7400,75311,89905,DebtCon,ProfExe,0,,,,,,27.201999612,3
0,7400,75547,93839,DebtCon,ProfExe,0,,,,,,28.161831853,3
1,7500,32070,36811,DebtCon,Other,1,1,0,228.03600011,0,6,30.162214113,3
0,7500,11358,36892,DebtCon,Other,5,0,0,286.9228238,0,11,23.06292573,3
0,7500,67778,83368,DebtCon,ProfExe,15,0,0,227.29208976,0,17,24.091770363,3
0,7800,64503,85608,HomeImp,Other,12,0,0,235.4853772,0,35,34.423248847,3
0,7800,,30320,DebtCon,Other,2,0,0,295.11342067,0,13,23.245673006,3
0,7900,40827,55757,DebtCon,Other,14,0,0,87.603462439,0,11,31.850563903,3
0,8000,49232,61221,DebtCon,Other,23,0,0,258.19457767,3,29,41.246612634,3
0,8000,61565,87624,DebtCon,ProfExe,14,0,0,203.9971364,0,17,23.562565007,3
0,8000,84282,121045,HomeImp,Office,28,0,0,330.17485564,1,37,35.362686394,3
0,8000,80817,89515,DebtCon,Other,0,3,0,,0,4,29.638901419,3
0,8100,43553,88242,DebtCon,,2,0,0,207.94046872,4,30,31.329651718,3
0,8100,48781,50434,HomeImp,Other,5,0,0,75.635047684,0,18,24.545192137,3
0,8100,81322,97823,DebtCon,ProfExe,3,0,0,118.46850599,0,25,32.716777591,3
0,8100,46380,58745,HomeImp,Other,7,0,0,78.360087635,0,18,22.375341167,3
0,8100,66546,84943,DebtCon,,3,0,0,225.6909893,0,15,30.398005095,3
0,8100,69047,82113,DebtCon,Sales,3,0,0,121.41114886,0,30,35.073918357,3
0,8100,,56386,HomeImp,Other,11,1,0,294.60276683,2,12,32.385956174,3
0,8200,39175,55848,HomeImp,Office,10,,,161.66158225,,18,24.200111438,3
0,8200,,38648,HomeImp,Other,,,,302.53018223,,10,30.445375631,3
0,8200,75870,97922,DebtCon,ProfExe,0,,,,,,27.276364919,3
0,8200,13392,34254,DebtCon,Other,3,0,0,267.91864156,0,11,21.929990488,3
0,8300,59761,75081,DebtCon,,17,0,0,147.94164245,1,11,31.959227235,3
0,8400,39677,54707,DebtCon,Office,10,0,0,203.24296532,1,23,31.217709755,3
0,8400,39991,58511,HomeImp,Office,10,,,176.99611174,,19,24.298636083,3
0,8400,62583,77481,DebtCon,Office,6,0,0,98.672705089,2,15,26.308380329,3
0,8400,78089,90660,DebtCon,Mgr,9,0,0,118.63539467,0,22,27.09304112,3
0,8500,61607,81126,HomeImp,Other,16,0,0,222.21119026,1,35,34.729698093,3
0,8500,50569,60940,DebtCon,Mgr,6,0,0,189.94689772,0,22,29.202476735,3
0,8500,6424,32365,,,,,,,,,33.904464501,3
0,8600,38646,54073,DebtCon,Other,14,0,0,89.555852767,0,11,32.530256646,3
0,8600,,54905,HomeImp,Other,8,0,0,308.65011743,2,13,32.553976104,3
0,8600,78579,93697,DebtCon,Other,0,0,0,115.19332144,1,10,33.837202699,3
0,8600,45960,57473,DebtCon,Mgr,4,0,0,189.76806013,0,22,26.754411554,3
0,8700,46489,63573,DebtCon,Mgr,4,0,0,196.24907,1,21,28.787922854,3
0,8700,57254,86883,HomeImp,Other,16,0,0,172.16656274,0,28,25.043436747,3
1,8700,57141,70244,HomeImp,Other,8,0,0,106.85542816,0,19,31.891314262,3
0,8700,,32855,HomeImp,,,,,,,,35.937902683,3
0,8700,76008,95976,DebtCon,ProfExe,0,,,,,,30.022245155,3
0,8700,50711,87898,DebtCon,,4,0,0,209.5214385,4,30,32.743007077,3
0,8800,135899,202788,DebtCon,ProfExe,1,0,0,53.767621524,1,23,35.932025066,3
0,8800,78953,93018,DebtCon,Mgr,7,0,0,110.72312997,0,22,28.289429173,3
0,8900,75441,116950,HomeImp,Office,26,0,0,322.73119571,2,37,33.788523674,3
0,8900,111493,133191,DebtCon,Self,6,0,0,159.43269808,0,19,34.3711489,3
0,8900,58839,81223,DebtCon,Office,4,0,0,102.24646959,2,15,26.206409952,3
0,9000,50513,61190,DebtCon,Other,5,0,0,75.388551244,1,11,30.498005118,3
0,9000,75453,100646,DebtCon,ProfExe,3,0,0,126.30983495,0,26,33.75846632,3
0,9000,56162,75526,HomeImp,Other,6,0,0,127.7869696,0,15,35.734056816,3
0,9000,41153,51841,DebtCon,Office,10,0,0,210.28268954,0,23,32.424293056,3
0,9000,56226,67466,HomeImp,Other,7,0,0,126.74508707,0,16,33.987846976,3
0,9000,131108,199295,DebtCon,ProfExe,1,0,0,61.000985499,1,22,35.930610888,3
0,9100,24721,34462,DebtCon,Other,1,0,0,28.100520363,9,7,27.520682167,3
0,9100,47756,84022,HomeImp,Other,18,0,0,206.79736096,1,17,32.391146387,3
0,9200,72859,88183,DebtCon,Mgr,8,0,0,105.65520523,0,23,29.007207774,3
0,9200,69657,89082,DebtCon,,3,0,0,217.32115468,0,16,28.749890366,3
0,9300,30204,57036,,Other,30,0,0,235.49281298,0,19,23.137840556,3
0,9400,76989,88788,HomeImp,Other,24,0,0,350.6390057,0,46,30.061371367,3
0,9400,81546,119128,HomeImp,Office,30,0,0,328.17812369,2,38,34.150319383,3
0,9400,86539,95010,DebtCon,Other,0,4,0,,0,3,29.815323588,3
0,9400,53244,62245,DebtCon,Other,23,0,0,276.78774402,3,28,37.821851509,3
0,9400,77410,116693,DebtCon,Office,0,0,0,245.08365185,0,37,17.176900657,3
0,9500,115186,131800,DebtCon,Self,7,0,0,177.05003605,0,19,33.43055804,3
0,9500,41541,57280,DebtCon,Other,6,0,0,69.229369351,1,10,29.160127076,3
1,9500,54612,68759,HomeImp,Other,9,0,0,89.102838608,0,19,31.353906936,3
1,9500,,40000,HomeImp,Other,10,0,0,36.5,1,1,,3
0,9600,,56900,,,,,,,,,14.435238785,3
0,9700,29094,51990,,Other,30,0,0,246.19523933,0,19,20.743364711,3
0,9700,39141,48905,DebtCon,Other,13,0,0,89.83593974,0,11,32.4314097,3
0,9700,63488,74374,DebtCon,Office,5,0,0,106.58945227,2,15,26.896012771,3
0,9800,81199,206201,HomeImp,Self,12,0,0,2.8207855775,,7,21.28386768,3
0,9800,80267,209931,HomeImp,Self,14,0,0,0.5071145295,,8,19.969628699,3
0,9800,56188,90143,HomeImp,Other,17,0,0,171.41365835,0,29,25.621650412,3
1,9900,23767,39293,DebtCon,Other,5,1,0,145.76577376,0,9,24.605128805,3
1,10000,34350,54146,DebtCon,Other,3,0,0,144.42288892,0,18,31.539013395,3
0,10000,64375,72418,DebtCon,ProfExe,14,0,0,207.61730644,3,31,38.867949083,3
0,10000,114643,130127,DebtCon,Self,5,0,1,160.6678931,0,19,33.920044393,3
0,10100,32608,47377,HomeImp,Other,9,0,0,67.38706567,0,3,35.690193036,3
0,10100,68240,84067,DebtCon,Sales,8,0,0,131.40418009,0,35,28.443810481,3
0,10100,63283,82912,HomeImp,Other,0,0,0,99.816258251,1,7,38.370539706,3
0,10100,,69451,,,,,,,,,22.519685436,3
0,10200,9078,35261,,,,,,,,,33.666454504,3
0,10200,55539,65357,DebtCon,Mgr,5,0,0,190.94593081,1,17,28.640823727,3
0,10200,8907,59814,HomeImp,Other,7,2,0,364.43094738,1,22,16.064245381,3
0,10200,61179,69591,DebtCon,,18,0,0,148.70447764,1,11,34.472204606,3
0,10300,79243,89840,DebtCon,Office,16,0,0,87.825346176,0,9,24.479373218,3
0,10300,65876,80064,DebtCon,,3,0,0,220.82597888,0,15,30.633131002,3
0,10400,37233,52320,DebtCon,Other,15,0,0,88.677328625,0,11,31.056436786,3
0,10400,39821,54040,HomeImp,Mgr,21,1,0,231.60541135,1,18,36.439736731,3
0,10500,13694,87580,DebtCon,Other,8,0,0,258.55492784,0,14,20.260198049,3
0,10500,42003,53754,DebtCon,Other,16,0,0,84.551104187,0,12,32.342959321,3
0,10600,80386,106526,HomeImp,ProfExe,1,0,0,64.066735538,1,19,34.104697064,3
0,10600,62909,81411,HomeImp,Other,15,0,0,238.31447075,1,35,34.680381648,3
0,10600,64546,84576,DebtCon,Other,0,,,173.62528427,,35,28.971803768,3
0,10600,48018,68963,DebtCon,Mgr,2,0,0,186.7575926,1,16,30.655744344,3
0,10700,56197,79272,HomeImp,Other,18,0,0,218.98166217,1,16,34.015359605,3
0,10700,126751,184554,DebtCon,Other,8,0,0,225.87035215,0,19,34.13705457,3
0,10700,49573,68125,DebtCon,Other,2,0,0,223.2,0,10,,3
0,10800,11950,46780,HomeImp,Office,24,0,0,268.9,0,20,,3
0,10800,56477,94980,HomeImp,Other,17,0,0,179.91736263,0,28,25.210739655,3
0,10800,59469,69834,DebtCon,Other,3,0,0,308.75917568,0,9,34.095785093,3
0,10800,49953,75322,DebtCon,Other,0,0,0,58.892731331,8,21,23.875946186,3
0,10800,13365,66979,HomeImp,Other,9,2,1,346.9796514,1,22,16.48162968,3
0,11000,14046,34777,DebtCon,Other,5,0,0,256.63415201,0,11,22.447943315,3
1,11000,77517,86214,HomeImp,ProfExe,2,2,0,352.37913787,0,28,28.030214206,3
0,11000,106762,123138,DebtCon,,2,0,0,131.01191573,0,25,32.80374334,3
0,11100,,50262,HomeImp,Mgr,5,,,175.75688747,,8,22.956863758,3
0,11100,82329,100139,HomeImp,ProfExe,5,0,0,108.53256364,0,26,26.099258701,3
0,11100,105226,122901,DebtCon,,3,0,0,113.68878037,1,26,33.896642978,3
0,11100,53232,86703,HomeImp,Other,16,0,0,183.20620747,0,29,26.87488997,3
0,11100,50350,58837,DebtCon,Other,6,0,0,80.843216818,0,10,28.793166271,3
0,11200,68890,84059,DebtCon,Office,12,0,0,254.01968935,3,36,41.433943797,3
0,11200,153103,181849,HomeImp,Office,6,0,0,186.249507,0,55,33.995565356,3
0,11300,,66345,HomeImp,Other,,0,0,357.14381933,0,6,34.601973808,3
0,11300,,28600,HomeImp,Office,20,0,0,190.03121757,0,15,39.008673024,3
0,11300,77846,101984,HomeImp,ProfExe,5,0,0,112.38484554,1,27,28.298733642,3
0,11400,66491,89553,DebtCon,,4,0,0,212.78328271,0,16,31.120132652,3
0,11400,112930,144830,DebtCon,ProfExe,2,0,0,271.23803732,1,46,33.251079314,3
0,11400,84278,200480,HomeImp,Self,14,0,0,4.4127700608,,8,19.112485067,3
0,11500,53151,71645,HomeImp,Other,7,0,0,135.80047603,0,16,35.851614414,3
0,11600,96882,118914,DebtCon,ProfExe,13,0,0,176.22191092,2,17,34.757740199,3
0,11600,57436,72460,,Other,11,0,0,255.12603024,0,27,28.945531785,3
0,11600,73079,101219,HomeImp,ProfExe,7,0,0,152.249875,0,33,34.249620743,3
0,11700,47072,85090,HomeImp,Other,18,0,0,192.25318228,0,16,35.064864675,3
0,11700,95411,117927,DebtCon,ProfExe,14,0,0,177.92669579,1,17,34.490564131,3
0,11700,84863,91737,DebtCon,Other,0,4,0,,0,4,30.330811492,3
0,11700,63724,82252,DebtCon,Office,13,0,0,233.24887936,3,37,40.075275838,3
0,11700,68059,86216,DebtCon,Other,3,,,175.65856785,,35,30.253969922,3
0,11800,,65769,HomeImp,Other,,0,0,357.33268218,0,7,34.327276537,3
0,11800,112146,140781,DebtCon,ProfExe,14,,0,170.70050749,0,32,29.942492402,3
0,11900,56792,64130,DebtCon,Mgr,13,0,0,118.61259022,1,18,32.665746304,3
0,11900,61094,74842,,Other,12,0,0,250.19983439,0,26,29.734874071,3
0,12000,57371,69076,DebtCon,Mgr,10,1,0,83.251972039,1,19,29.632108256,3
0,12000,76799,83864,DebtCon,Mgr,8,0,0,102.20427433,0,22,27.17193008,3
0,12000,97650,115931,DebtCon,ProfExe,11,0,0,199.82804201,1,17,34.387943973,3
0,12000,88210,114224,DebtCon,ProfExe,8,0,0,203.46897898,1,36,41.572971522,3
0,12100,83557,98881,HomeImp,ProfExe,6,0,0,102.22570446,1,26,25.782787088,3
0,12100,18728,34443,DebtCon,Mgr,9,0,0,117.64828293,0,10,21.589836378,3
0,12100,55147,72553,DebtCon,Other,0,0,0,229.40617542,0,10,35.867729634,3
0,12200,57785,72971,DebtCon,Other,2,0,0,166.89946021,1,16,34.709643927,3
0,12200,67474,88473,DebtCon,Other,2,0,0,234.77599668,3,26,29.097298793,3
0,12200,199232,229929,HomeImp,ProfExe,11,0,0,223.43811683,0,21,31.370272297,3
0,12200,57112,76050,DebtCon,Other,1,0,0,235.22926877,0,9,35.113185331,3
0,12200,90154,110479,DebtCon,ProfExe,9,0,0,196.92640591,2,37,43.189031502,3
0,12300,,50530,HomeImp,Mgr,5,,,163.54095996,,9,20.02628441,3
0,12300,102908,124217,HomeImp,ProfExe,9,0,0,159.99402639,2,31,27.707443896,3
0,12400,31303,57444,,Other,29,0,0,246.71682738,0,18,20.205907521,3
0,12400,203902,234454,HomeImp,ProfExe,9,0,0,213.45544748,0,22,33.64852105,3
0,12400,36034,62953,DebtCon,ProfExe,9,0,0,262.07934525,0,16,21.345227351,3
0,12400,115004,144760,DebtCon,ProfExe,2,0,0,279.5221733,1,46,35.614731425,3
0,12500,56960,69014,DebtCon,Other,4,0,0,307.63666403,0,10,30.362483817,3
0,12500,83924,100114,HomeImp,ProfExe,0,0,0,71.304197606,1,20,34.712768805,3
0,12600,103960,127384,DebtCon,,2,0,0,129.01549941,0,25,34.479454764,3
0,12600,62493,77141,,Other,13,0,0,266.33310144,0,26,27.007872196,3
0,12600,100590,138649,HomeImp,ProfExe,14,0,0,138.16470464,4,22,34.598727401,3
0,12700,103034,124116,DebtCon,,2,0,0,137.43869242,0,25,31.603100931,3
0,12700,79898,101989,DebtCon,ProfExe,9,2,0,214.99645978,1,29,29.306071113,3
0,12700,48139,64842,DebtCon,Other,0,1,0,192.47915219,2,13,26.54684008,3
0,12800,117391,210072,HomeImp,ProfExe,1,0,0,136.6209694,1,14,27.124889306,3
0,12800,,,,,,,,,,,25.132448542,3
0,12800,46043,62531,DebtCon,Other,4,0,0,183.98210054,0,13,26.100802572,3
0,12900,34655,57787,,Other,31,0,0,244.99538458,0,18,21.415504297,3
0,12900,39401,53758,HomeImp,Other,22,0,0,118.64637517,0,23,38.689440621,3
0,12900,151991,179521,HomeImp,Office,6,0,0,186.8053299,0,55,34.19175206,3
0,12900,83886,100782,HomeImp,ProfExe,5,0,0,115.07618603,1,27,27.979706434,3
0,13000,,28981,HomeImp,,28,0,0,203.90285502,0,4,25.740930695,3
0,13000,61509,77065,DebtCon,Other,6,0,0,172.8544902,2,17,35.390861311,3
0,13000,49268,72430,DebtCon,ProfExe,19,0,0,192.36447464,0,15,23.617104865,3
0,13000,61612,99132,HomeImp,ProfExe,8,0,0,262.73333333,1,12,,3
0,13000,110097,210595,HomeImp,ProfExe,3,0,0,122.63869991,0,15,29.327513673,3
0,13000,60719,73677,,Other,11,0,0,256.7103553,0,26,27.310106973,3
0,13100,82411,103833,HomeImp,Other,21,0,0,135.86303837,4,24,29.21582663,3
0,13100,,65933,,,0,0,0,,0,0,3.657370718,3
