BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Period
1,2200,23030,,,,19,,,,,,3.7113122995,4
0,2400,98449,117195,HomeImp,Office,4,0,0,93.811774855,0,13,29.681827045,4
0,3600,100693,114743,HomeImp,Office,6,0,0,88.470452135,0,14,29.393543382,4
0,3600,52337,63989,HomeImp,Office,20,0,0,204.27249884,0,20,20.470915508,4
0,3800,,73189,,,,,,,,,22.253949156,4
0,3800,11543,46045,HomeImp,Self,,0,0,204.64799167,0,11,42.173165882,4
1,3900,29896,45960,HomeImp,Other,11,0,0,146.12324219,0,14,24.478881191,4
0,4000,54543,61777,HomeImp,Office,21,0,0,205.58668003,0,19,21.806563464,4
0,4500,,49044,HomeImp,,0,0,0,,0,0,11.652738796,4
0,4700,88026,115506,HomeImp,ProfExe,6,0,0,182.24833156,0,27,29.20902258,4
0,5000,70470,77908,DebtCon,,5,,,,,,,4
0,5000,44674,59375,HomeImp,Office,10,,,178.6925087,,19,26.448197463,4
0,5000,,46281,HomeImp,Other,2,0,0,257.6522064,0,26,40.952588884,4
0,5100,,28291,DebtCon,Other,2,0,0,277.94456081,1,14,23.644691283,4
0,5100,62702,79784,HomeImp,Other,2,0,0,108.07259081,0,15,43.290139816,4
0,5200,,36425,DebtCon,Other,2,0,0,266.81346457,1,14,23.797401058,4
0,5300,,49396,HomeImp,,0,0,0,,0,0,12.043670576,4
0,5300,44993,50673,HomeImp,Office,7,,,184.74276716,,18,27.906122726,4
0,5300,47449,63895,HomeImp,Office,19,0,0,208.16271401,0,20,19.762113701,4
0,5500,52897,65054,HomeImp,Office,20,0,0,189.29531847,0,19,20.654128896,4
0,5500,78059,78179,DebtCon,,5,,,,,,20.679313582,4
0,5500,,66251,HomeImp,Office,1,0,0,43.722336946,0,3,41.452043532,4
0,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.28295679,0,13,24.339533569,4
0,5700,28116,33450,DebtCon,Other,0,1,0,15.396587392,9,7,30.017013296,4
0,5800,,73804,HomeImp,Office,1,0,0,71.766557161,0,4,41.287423388,4
1,6000,24600,30500,HomeImp,Other,4.5,0,1,116.1,8,34,,4
0,6100,48500,62500,DebtCon,Mgr,7,,4,111.3,2,11,,4
0,6100,78753,95433,DebtCon,ProfExe,0,,,,,,28.925117417,4
1,6200,42100,57385,DebtCon,Other,8.5,0,1,164.8,1,28,,4
0,6200,70793,71552,HomeImp,Sales,3,2,0,162.94515692,0,23,40.315396587,4
0,6200,45787,64854,DebtCon,,4,,1,63.117023228,,16,36.538747338,4
1,6300,65875,76000,DebtCon,Mgr,0.8,2,0,84,1,12,,4
0,6300,26655,29792,DebtCon,Other,1,1,0,12.759267447,10,6,28.36185178,4
0,6500,47949,53102,HomeImp,Office,9,,,180.84124987,,19,27.839006664,4
0,6500,81145,117530,HomeImp,Office,29,0,0,327.20063852,1,38,34.345837692,4
0,6600,62380,89742,HomeImp,Office,31,0,0,232.52729073,0,16,26.160494887,4
